order_item_id,order_id,product_id,order_item_quantity,order_item_product_price,order_item_discount,order_item_discount_price,sales,order_item_total,order_item_profit_ratio
114173,45680,365,1,59.99,10.8,0.18,59.99,49.19,0.5
110494,44253,403,1,129.99,26,0.2,129.99,103.99,0.47
115235,46098,957,1,299.98,3,0.01,299.98,296.98,0
103115,41304,957,1,299.98,6,0.02,299.98,293.98,0.33
174392,71077,1352,1,252.88,0,0,252.88,252.88,-0.2
173018,69703,1349,1,452.04,4.52,0.01,452.04,447.52,0.27
174427,71112,1352,1,252.88,2.53,0.01,252.88,250.35,0.1
173125,69810,1349,1,452.04,9.04,0.02,452.04,443,0.48
174407,71092,1352,1,252.88,7.59,0.03,252.88,245.29,0.28
172925,69610,1349,1,452.04,18.08,0.04,452.04,433.96,0.31
174315,71000,1352,1,252.88,12.64,0.05,252.88,240.24,0.33
174049,70734,1351,1,1500,82.5,0.06,1500,1417.5,0.42
172941,69626,1349,1,452.04,24.86,0.06,452.04,427.18,0.05
172797,69482,1349,1,452.04,24.86,0.06,452.04,427.18,0.5
174084,70769,1351,1,1500,105,0.07,1500,1395,0.04
172958,69643,1349,1,452.04,31.64,0.07,452.04,420.4,0.3
174366,71051,1352,1,252.88,22.76,0.09,252.88,230.12,0.03
172723,69408,1349,1,452.04,40.68,0.09,452.04,411.36,-0.68
174438,71123,1352,1,252.88,22.76,0.09,252.88,230.12,0.46
173849,70534,1351,1,1500,135,0.09,1500,1365,0.06
172956,69641,1349,1,452.04,45.2,0.1,452.04,406.84,0.48
174275,70960,1352,1,252.88,25.29,0.1,252.88,227.59,0.1
173223,69908,1349,1,452.04,67.81,0.15,452.04,384.23,0.47
174272,70957,1352,1,252.88,37.93,0.15,252.88,214.95,0.47
172952,69637,1349,1,452.04,72.33,0.16,452.04,379.71,0.31
174270,70955,1352,1,252.88,42.99,0.17,252.88,209.89,0.29
174234,70919,1352,1,252.88,42.99,0.17,252.88,209.89,0.35
174324,71009,1352,1,252.88,42.99,0.17,252.88,209.89,0.19
172968,69653,1349,1,452.04,81.37,0.18,452.04,370.67,0.48
172842,69527,1349,1,452.04,81.37,0.18,452.04,370.67,0.35
174395,71080,1352,1,252.88,45.52,0.18,252.88,207.36,0.3
173859,70544,1351,1,1500,300,0.2,1500,1200,0.08
172786,69471,1349,1,452.04,113.01,0.25,452.04,339.03,0.35
172188,68879,60,1,999.99,10,0.01,999.99,989.99,0.42
167987,67214,24,1,79.99,1.6,0.02,79.99,78.39,0.11
44493,17810,44,1,59.99,7.8,0.13,59.99,52.19,0.31
46997,18793,278,1,44.99,1.8,0.04,44.99,43.19,0.29
162715,65109,191,1,99.99,4,0.04,99.99,95.99,0.27
39186,15673,191,1,99.99,5,0.05,99.99,94.99,-0.14
45455,18183,278,1,44.99,3.15,0.07,44.99,41.84,0.24
50536,20234,191,1,99.99,10,0.1,99.99,89.99,0.12
32867,13139,191,1,99.99,12,0.12,99.99,87.99,0.19
84424,33824,278,3,44.99,6.75,0.05,134.97,128.22,0.23
78398,31364,191,3,99.99,21,0.07,299.97,278.97,0.48
101052,40495,191,3,99.99,27,0.09,299.97,272.97,0.29
78396,31364,191,3,99.99,27,0.09,299.97,272.97,0.07
86191,34506,365,3,59.99,9,0.05,179.97,170.97,0.06
83892,33607,365,3,59.99,12.6,0.07,179.97,167.37,-1.7
81596,32617,365,3,59.99,21.6,0.12,179.97,158.37,0.44
93579,37496,627,3,39.99,1.2,0.01,119.97,118.77,0.06
81595,32617,567,3,25,1.5,0.02,75,73.5,0.15
122703,49075,502,3,50,18,0.12,150,132,-0.19
84425,33824,502,3,50,18,0.12,150,132,0.25
122700,49075,502,3,50,19.5,0.13,150,130.5,0.28
103905,41623,627,3,39.99,20.39,0.17,119.97,99.58,-0.77
98043,39271,627,3,39.99,20.39,0.17,119.97,99.58,0.09
96337,38598,893,3,24.99,0.75,0.01,74.97,74.22,0.49
94445,37845,924,3,15.99,7.68,0.16,47.97,40.29,0.45
105703,42331,365,4,59.99,12,0.05,239.96,227.96,-0.06
103211,41345,365,4,59.99,35.99,0.15,239.96,203.97,0.36
127882,51168,502,4,50,0,0,200,200,0.45
127881,51168,627,4,39.99,3.2,0.02,159.96,156.76,-0.01
108885,43599,502,4,50,11,0.06,200,189,0.45
104591,41901,905,4,24.99,19.99,0.2,99.96,79.97,0.04
106706,42751,191,4,99.99,36,0.09,399.96,363.96,-0.73
112591,45088,365,4,59.99,0,0,239.96,239.96,0.27
126156,50489,365,4,59.99,9.6,0.04,239.96,230.36,0.36
110862,44409,365,4,59.99,12,0.05,239.96,227.96,0.33
105115,42101,365,4,59.99,13.2,0.06,239.96,226.76,0.41
125992,50424,365,4,59.99,31.19,0.13,239.96,208.77,0.34
124562,49825,502,4,50,0,0,200,200,0.48
103083,41294,502,4,50,2,0.01,200,198,-0.73
104898,42023,627,4,39.99,4.8,0.03,159.96,155.16,0.29
119464,47774,627,4,39.99,8.8,0.06,159.96,151.16,0.34
104416,41827,564,4,30,8.4,0.07,120,111.6,0.28
117955,47193,502,4,50,30,0.15,200,170,-2.7
106390,42626,502,4,50,40,0.2,200,160,-1.55
115493,46199,502,4,50,50,0.25,200,150,0.09
121217,48468,885,4,24.99,5.5,0.06,99.96,94.46,0.49
127490,51009,191,4,99.99,4,0.01,399.96,395.96,0.46
115564,46229,191,4,99.99,8,0.02,399.96,391.96,-0.67
107084,42882,191,4,99.99,20,0.05,399.96,379.96,0.47
117074,46827,191,4,99.99,36,0.09,399.96,363.96,0.46
121737,48684,191,4,99.99,40,0.1,399.96,359.96,-0.21
121735,48684,191,4,99.99,48,0.12,399.96,351.96,0.47
116042,46416,191,4,99.99,48,0.12,399.96,351.96,-0.23
118360,47343,191,4,99.99,59.99,0.15,399.96,339.97,0.27
104060,41686,403,1,129.99,5.2,0.04,129.99,124.79,0.33
104577,41896,403,1,129.99,5.2,0.04,129.99,124.79,0.33
70443,28168,365,1,59.99,3,0.05,59.99,56.99,0.48
62621,24992,403,1,129.99,6.5,0.05,129.99,123.49,0.21
77102,30851,403,1,129.99,6.5,0.05,129.99,123.49,0.26
62834,25074,403,1,129.99,6.5,0.05,129.99,123.49,0.29
180185,76870,1363,1,215.82,10.79,0.05,215.82,205.03,0.5
63064,25163,403,1,129.99,6.5,0.05,129.99,123.49,0.13
70143,28036,403,1,129.99,6.5,0.05,129.99,123.49,0.04
56759,22679,403,1,129.99,6.5,0.05,129.99,123.49,0.5
59059,23610,403,1,129.99,6.5,0.05,129.99,123.49,0.31
106946,42828,365,1,59.99,3,0.05,59.99,56.99,0.25
104576,41896,403,1,129.99,6.5,0.05,129.99,123.49,-0.05
121833,48713,403,1,129.99,6.5,0.05,129.99,123.49,0.16
114148,45668,403,1,129.99,6.5,0.05,129.99,123.49,0.44
178111,74796,1353,1,461.48,25.38,0.06,461.48,436.1,0.1
69867,27918,403,1,129.99,7.15,0.06,129.99,122.84,0.35
75233,30097,365,1,59.99,3.3,0.06,59.99,56.69,0.35
77398,30966,403,1,129.99,7.15,0.06,129.99,122.84,0.44
75154,30063,403,1,129.99,7.15,0.06,129.99,122.84,-1.5
55063,22019,403,1,129.99,7.15,0.06,129.99,122.84,0.33
60624,24230,403,1,129.99,7.15,0.06,129.99,122.84,0.34
121830,48713,403,1,129.99,7.15,0.06,129.99,122.84,0.08
105750,42353,403,1,129.99,7.15,0.06,129.99,122.84,0.1
114147,45668,403,1,129.99,7.15,0.06,129.99,122.84,0.3
105206,42134,403,1,129.99,9.1,0.07,129.99,120.89,0.5
53808,21522,403,1,129.99,9.1,0.07,129.99,120.89,-0.24
59474,23767,403,1,129.99,9.1,0.07,129.99,120.89,0.13
63711,25433,403,1,129.99,9.1,0.07,129.99,120.89,-0.88
177208,73893,1363,1,215.82,15.11,0.07,215.82,200.71,0.36
75205,30085,365,1,59.99,4.2,0.07,59.99,55.79,0.48
75410,30172,403,1,129.99,9.1,0.07,129.99,120.89,0.26
68790,27478,403,1,129.99,9.1,0.07,129.99,120.89,0.06
180291,76976,1363,1,215.82,15.11,0.07,215.82,200.71,0.31
60210,24063,403,1,129.99,9.1,0.07,129.99,120.89,-1.55
127964,51209,403,1,129.99,9.1,0.07,129.99,120.89,0.26
177154,73839,1363,1,215.82,15.11,0.07,215.82,200.71,-0.7
178038,74723,1353,1,461.48,32.3,0.07,461.48,429.18,0.09
67197,26821,403,1,129.99,9.1,0.07,129.99,120.89,-1.6
180417,77102,1363,1,215.82,15.11,0.07,215.82,200.71,0.38
103859,41608,403,1,129.99,9.1,0.07,129.99,120.89,0.1
117478,47009,403,1,129.99,9.1,0.07,129.99,120.89,0.27
124787,49916,403,1,129.99,11.7,0.09,129.99,118.29,0.21
74420,29746,365,1,59.99,5.4,0.09,59.99,54.59,0.11
175848,72533,1357,1,210.85,18.98,0.09,210.85,191.87,0.49
121561,48608,502,5,50,25,0.1,250,225,0.1
113719,45506,502,5,50,30,0.12,250,220,0.07
112427,45027,627,5,39.99,25.99,0.13,199.95,173.96,0.3
115752,46308,627,5,39.99,29.99,0.15,199.95,169.96,0.5
109111,43685,502,5,50,40,0.16,250,210,0.31
104569,41893,502,5,50,42.5,0.17,250,207.5,0.34
115856,46339,502,5,50,42.5,0.17,250,207.5,0.27
116672,46667,502,5,50,42.5,0.17,250,207.5,0.06
119125,47647,502,5,50,45,0.18,250,205,0.31
121445,48565,502,5,50,45,0.18,250,205,0.49
109614,43889,502,5,50,45,0.18,250,205,0.35
112738,45138,502,5,50,50,0.2,250,200,0.36
110278,44160,627,5,39.99,49.99,0.25,199.95,149.96,0.45
123053,49214,502,5,50,62.5,0.25,250,187.5,0.11
104410,41825,906,5,24.99,0,0,124.95,124.95,0.48
111111,44504,885,5,24.99,6.25,0.05,124.95,118.7,0.3
111088,44496,886,5,24.99,6.87,0.06,124.95,118.08,0.34
113854,45559,926,5,15.99,5.6,0.07,79.95,74.35,0.31
110090,44074,924,5,15.99,12.79,0.16,79.95,67.16,0.46
124661,49857,825,5,31.99,28.79,0.18,159.95,131.16,0.09
104311,41786,977,5,29.99,29.99,0.2,149.95,119.96,0.45
120131,48042,116,5,44.99,38.24,0.17,224.95,186.71,0.44
110620,44301,191,5,99.99,25,0.05,499.95,474.95,0.14
103815,41591,365,5,59.99,0,0,299.95,299.95,0.27
112334,44981,627,5,39.99,33.99,0.17,199.95,165.96,0.33
103704,41545,502,5,50,50,0.2,250,200,-1.33
124779,49910,818,5,47.99,43.19,0.18,239.95,196.76,0.26
48976,19590,44,5,59.99,15,0.05,299.95,284.95,0.3
109018,43650,235,5,34.99,0,0,174.95,174.95,0.34
38024,15202,191,5,99.99,5,0.01,499.95,494.95,0.17
38639,15462,273,5,27.99,2.8,0.02,139.95,137.15,0.48
37908,15155,191,5,99.99,10,0.02,499.95,489.95,0.09
161109,64451,191,5,99.99,15,0.03,499.95,484.95,0.5
167556,67028,191,5,99.99,15,0.03,499.95,484.95,-0.24
155832,62336,191,5,99.99,15,0.03,499.95,484.95,0.23
28340,11334,282,5,31.99,4.8,0.03,159.95,155.15,0.34
157243,62885,191,5,99.99,20,0.04,499.95,479.95,0.02
167475,66998,191,5,99.99,20,0.04,499.95,479.95,0.48
117458,47002,191,5,99.99,25,0.05,499.95,474.95,0.09
158605,63445,191,5,99.99,25,0.05,499.95,474.95,0.1
168920,67566,191,5,99.99,25,0.05,499.95,474.95,0.46
47235,18884,235,5,34.99,8.75,0.05,174.95,166.2,-0.06
47141,18845,235,5,34.99,9.62,0.06,174.95,165.33,0.5
167108,66854,359,5,99.99,35,0.07,499.95,464.95,0.38
117346,46955,191,5,99.99,45,0.09,499.95,454.95,0.35
137558,55002,365,2,59.99,18,0.15,119.98,101.98,0.49
151253,60445,365,2,59.99,18,0.15,119.98,101.98,0.46
133933,53586,365,2,59.99,20.4,0.17,119.98,99.58,0.33
141623,56618,365,2,59.99,20.4,0.17,119.98,99.58,0.37
129598,51865,365,2,59.99,20.4,0.17,119.98,99.58,0.5
7333,2937,502,2,50,0,0,100,100,0.35
136156,54446,502,2,50,0,0,100,100,0.43
146742,58623,502,2,50,1,0.01,100,99,0
18572,7411,627,2,39.99,0.8,0.01,79.98,79.18,0.28
13366,5348,502,2,50,3,0.03,100,97,0.11
149496,59742,502,2,50,4,0.04,100,96,0.43
148919,59498,627,2,39.99,3.2,0.04,79.98,76.78,0.35
8590,3459,627,2,39.99,4,0.05,79.98,75.98,0.45
21144,8470,627,2,39.99,4,0.05,79.98,75.98,0.47
133575,53455,502,2,50,5,0.05,100,95,0.13
5047,2014,565,2,70,7.7,0.06,140,132.3,0.14
139774,55899,567,2,25,3.5,0.07,50,46.5,0.38
131429,52582,502,2,50,7,0.07,100,93,0.33
140631,56222,502,2,50,7,0.07,100,93,-1.75
144695,57829,627,2,39.99,7.2,0.09,79.98,72.78,0.34
140615,56217,627,2,39.99,8,0.1,79.98,71.98,0.5
14655,5893,627,2,39.99,8,0.1,79.98,71.98,0.24
13796,5528,502,2,50,10,0.1,100,90,0.46
922,367,627,2,39.99,8,0.1,79.98,71.98,0.33
130831,52353,502,2,50,10,0.1,100,90,0.24
4452,1784,502,2,50,10,0.1,100,90,0.31
150929,60317,627,2,39.99,9.6,0.12,79.98,70.38,-0.16
16941,6776,502,2,50,12,0.12,100,88,0.33
11226,4487,502,2,50,13,0.13,100,87,0.27
24177,9681,502,2,50,15,0.15,100,85,0.23
152307,60868,627,2,39.99,13.6,0.17,79.98,66.38,0.09
133008,53231,572,2,39.99,14.4,0.18,79.98,65.58,0.11
131482,52601,627,2,39.99,14.4,0.18,79.98,65.58,0.33
11689,4660,627,2,39.99,14.4,0.18,79.98,65.58,-0.14
8807,3539,502,2,50,18,0.18,100,82,0.09
133012,53231,502,2,50,20,0.2,100,80,0.47
136276,54488,502,2,50,20,0.2,100,80,0.46
16942,6776,627,2,39.99,20,0.25,79.98,59.99,0.27
131352,52549,627,2,39.99,20,0.25,79.98,59.99,0.46
151061,60361,502,2,50,25,0.25,100,75,0.17
21145,8470,825,2,31.99,0.64,0.01,63.98,63.34,0.3
14229,5712,905,2,24.99,2.75,0.06,49.98,47.23,0.29
23226,9309,804,2,19.99,4,0.1,39.98,35.98,0.44
20211,8095,822,2,47.99,11.52,0.12,95.98,84.46,0.31
179207,75892,1360,1,327.75,65.55,0.2,327.75,262.2,-0.18
179206,75891,1360,1,327.75,81.94,0.25,327.75,245.81,0.42
179205,75890,1360,1,327.75,0,0,327.75,327.75,0.25
179204,75889,1360,1,327.75,3.28,0.01,327.75,324.47,0.08
179203,75888,1360,1,327.75,6.56,0.02,327.75,321.2,-0.11
179202,75887,1360,1,327.75,9.83,0.03,327.75,317.92,0.35
179201,75886,1360,1,327.75,13.11,0.04,327.75,314.64,0.36
179200,75885,1360,1,327.75,16.39,0.05,327.75,311.36,-0.23
179199,75884,1360,1,327.75,18.03,0.06,327.75,309.72,0.12
179198,75883,1360,1,327.75,22.94,0.07,327.75,304.81,0.48
179197,75882,1360,1,327.75,29.5,0.09,327.75,298.25,0.25
179196,75881,1360,1,327.75,32.78,0.1,327.75,294.98,0.2
179195,75880,1360,1,327.75,39.33,0.12,327.75,288.42,0.29
179194,75879,1360,1,327.75,42.61,0.13,327.75,285.14,0.48
179193,75878,1360,1,327.75,49.16,0.15,327.75,278.59,0.08
179192,75877,1360,1,327.75,52.44,0.16,327.75,275.31,-0.2
179191,75876,1360,1,327.75,55.72,0.17,327.75,272.03,0.13
179190,75875,1360,1,327.75,59,0.18,327.75,268.76,0.49
179189,75874,1360,1,327.75,65.55,0.2,327.75,262.2,0.35
179188,75873,1360,1,327.75,81.94,0.25,327.75,245.81,-0.67
179187,75872,1360,1,327.75,0,0,327.75,327.75,0.44
179186,75871,1360,1,327.75,3.28,0.01,327.75,324.47,0.1
179185,75870,1360,1,327.75,6.56,0.02,327.75,321.2,0.29
179184,75869,1360,1,327.75,9.83,0.03,327.75,317.92,0.25
179183,75868,1360,1,327.75,13.11,0.04,327.75,314.64,0.32
179182,75867,1360,1,327.75,16.39,0.05,327.75,311.36,0.48
179181,75866,1360,1,327.75,18.03,0.06,327.75,309.72,0.26
179180,75865,1360,1,327.75,22.94,0.07,327.75,304.81,-0.11
179179,75864,1360,1,327.75,29.5,0.09,327.75,298.25,0.49
179178,75863,1360,1,327.75,32.78,0.1,327.75,294.98,0.08
179177,75862,1360,1,327.75,39.33,0.12,327.75,288.42,-1.55
179176,75861,1360,1,327.75,42.61,0.13,327.75,285.14,0.38
179175,75860,1360,1,327.75,49.16,0.15,327.75,278.59,-1.65
179174,75859,1360,1,327.75,52.44,0.16,327.75,275.31,-0.23
179173,75858,1360,1,327.75,55.72,0.17,327.75,272.03,0.41
179172,75857,1360,1,327.75,59,0.18,327.75,268.76,0.49
179171,75856,1360,1,327.75,65.55,0.2,327.75,262.2,0.33
179170,75855,1360,1,327.75,81.94,0.25,327.75,245.81,0.26
179169,75854,1360,1,327.75,0,0,327.75,327.75,-0.83
179168,75853,1360,1,327.75,3.28,0.01,327.75,324.47,-0.8
179167,75852,1360,1,327.75,6.56,0.02,327.75,321.2,0.06
179166,75851,1360,1,327.75,9.83,0.03,327.75,317.92,0.35
179165,75850,1360,1,327.75,13.11,0.04,327.75,314.64,0
179164,75849,1360,1,327.75,16.39,0.05,327.75,311.36,0.31
179163,75848,1360,1,327.75,18.03,0.06,327.75,309.72,0.29
179162,75847,1360,1,327.75,22.94,0.07,327.75,304.81,0.28
179161,75846,1360,1,327.75,29.5,0.09,327.75,298.25,0.42
179160,75845,1360,1,327.75,32.78,0.1,327.75,294.98,0.31
179159,75844,1360,1,327.75,39.33,0.12,327.75,288.42,0.27
179158,75843,1360,1,327.75,42.61,0.13,327.75,285.14,0.29
179157,75842,1360,1,327.75,49.16,0.15,327.75,278.59,0.25
179156,75841,1360,1,327.75,52.44,0.16,327.75,275.31,0.49
179155,75840,1360,1,327.75,55.72,0.17,327.75,272.03,-0.73
179154,75839,1360,1,327.75,59,0.18,327.75,268.76,-0.8
179153,75838,1360,1,327.75,65.55,0.2,327.75,262.2,0.31
179152,75837,1360,1,327.75,81.94,0.25,327.75,245.81,0.31
179151,75836,1360,1,327.75,0,0,327.75,327.75,-1.65
179150,75835,1360,1,327.75,3.28,0.01,327.75,324.47,-0.45
179149,75834,1360,1,327.75,6.56,0.02,327.75,321.2,0.29
179148,75833,1360,1,327.75,9.83,0.03,327.75,317.92,0.47
179147,75832,1360,1,327.75,13.11,0.04,327.75,314.64,0.1
